ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
Myristoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-7836	-	Fatty acyls	Long-Chain-234-Saturated-Fatty-Acids; Saturated-Fatty-Acids	Non-esterified fatty acid	tetradecanoate	-	(C 14);(H 27);(O 2)	(ZINC ZINC000001530417 NIL |kothari| 3853423702 NIL NIL); (SEED cpd03847 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM314 NIL |kothari| 3787514192 NIL NIL); (REFMET Myristic acid NIL |midford| 3701443689 NIL NIL); (BIGG ttdca NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC30807 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00806 NIL |kothari| 3608602437 NIL NIL); (CHEMSPIDER 3290116 NIL |kothari| 3563632196 NIL NIL); (PUBCHEM 4075158 NIL |taltman| 3466375284 NIL NIL); (CHEBI 30807 NIL |taltman| 3452363408 NIL NIL); (LIGAND-CPD C06424 NIL |kr| 3410284649 NIL NIL); (CAS 544-63-8 NIL |keseler| 3373047613 NIL NIL)	CCCCCCCCCCCCCC([O-])=O	myristic acid; myristate; tetradecanoic acid; tetradecoate; tetradecoic acid	['-']
CIS-ACONITATE	-	-	Tricarboxylates	-	cis-aconitate	-	(C 6);(H 3);(O 6)	(ZINC ZINC000003860972 NIL |kothari| 3853420629 NIL NIL); (SEED cpd00331 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM813 NIL |kothari| 3787514190 NIL NIL); (REFMET Cis-Aconitic acid NIL |midford| 3701443689 NIL NIL); (BIGG acon_C NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC16383 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00072 NIL |kothari| 3608601984 NIL NIL); (CHEMSPIDER 4573582 NIL |kothari| 3563632053 NIL NIL); (KNAPSACK C00001177 NIL |achi1| 3445698160 NIL NIL); (PUBCHEM 5459816 NIL |taltman| 3466375285 NIL NIL); (CHEBI 16383 NIL |taltman| 3452363559 NIL NIL); (LIGAND-CPD C00417 NIL |kr| 3410284649 NIL NIL); (CAS 585-84-2)	C([O-])(=O)C(/CC(=O)[O-])=C/C(=O)[O-]	(Z)-prop-1-ene-1,2,3-tricarboxylate; cis-aconitic acid	['-']
THREO-DS-ISO-CITRATE	-	-	Isocitrate	-	D-threo-isocitrate	-	(C 6);(H 5);(O 7)	(ZINC ZINC000000895179 NIL |kothari| 3853426343 NIL NIL); (SEED cpd00353 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM162 NIL |kothari| 3787514190 NIL NIL); (REFMET Isocitric acid NIL |midford| 3701443689 NIL NIL); (BIGG icit NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC15562 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01874 NIL |kothari| 3608602005 NIL NIL); (CHEMSPIDER 4573553 NIL |kothari| 3563632056 NIL NIL); (LIGAND-CPD C00451 NIL |kothari| 3492541244 NIL NIL); (KNAPSACK C00001188 NIL |achi1| 3445698173 NIL NIL); (CAS 320-77-4); (CAS 30810-51-6 NIL |kr| 3346617700 NIL NIL); (PUBCHEM 5459771 NIL |taltman| 3466375284 NIL NIL); (CHEBI 15562 NIL |taltman| 3452363561 NIL NIL)	C(=O)([C@@H](CC([O-])=O)[C@@H](O)C([O-])=O)[O-]	(1R, 2S)-1-hydroxypropane-1,2,3-tricarboxylate; D-threo-isocitric acid; isocitric acid; isocitrate; threo-Ds-isocitrate; I-CIT; D-isocitrate	['-']
CPD-2190	-	Glycerolipids	Monogalactosyldiacylglycerols-34-6	Monohexosyldiacylglycerol	1-18:3-2-16:3-monogalactosyldiacylglycerol	18:3-16:3-MGDG	(C 43);(H 70);(O 10)	(SEED cpd24375 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM9569 NIL |kothari| 3787514189 NIL NIL); (CHEBI 90552 NIL |kothari| 3686585520 NIL NIL); (PUBCHEM 90659307 NIL |kothari| 3641818092 NIL NIL); (CHEMSPIDER 10477392 NIL |kothari| 3563631793 NIL NIL)	CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO))OC(CCCCC\C=C/C\C=C/C\C=C/CC)=O)=O	18:3-16:3-MGDG; 1-(9Z,12Z,15Z-octadecatrienoyl)-2-(7Z,10Z,13Z-hexadecatrienoyl)-3-O-beta-D-galactosyl-sn-glycerol	['-']
R-3-hydroxyhexanoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
3-oxo-hexanoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-4181	-	-	Triterpenes	-	cycloartanol	-	(C 30);(H 52);(O 1)	(ZINC ZINC000118915278 NIL |kothari| 3853422792 NIL NIL); (HMDB HMDB35969 NIL |kothari| 3787939152 NIL NIL); (METANETX MNXM9915 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 12760132 NIL |kothari| 3780931552 NIL NIL); (CHEMSPIDER 10218455 NIL |hartmut| 3658248782 NIL NIL)	CC(C)CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5(C(C)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5))))	24(25)-dihydrocycloartenol; (3&beta,9&beta)-9,19-cyclolanost-3-ol	['-']
CYCLOARTENOL	-	-	Steroids	-	cycloartenol	-	(C 30);(H 50);(O 1)	(ZINC ZINC000118915285 NIL |kothari| 3853425130 NIL NIL); (SEED cpd01306 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM1323 NIL |kothari| 3787514193 NIL NIL); (PUBCHEM 92110 NIL |kothari| 3780931552 NIL NIL); (HMDB HMDB36591 NIL |kothari| 3608601924 NIL NIL); (CHEBI 17030 NIL |caspi| 3591728511 NIL NIL); (LIGAND-CPD C01902 NIL |taltman| 3459474373 NIL NIL); (CAS 469-38-5)	CC(C)=CCC[C@@H](C)[C@H]3(CC[C@@]4(C)([C@@H]1(CC[C@H]5(C(C)(C)[C@@H](O)CC[C@@]2(C[C@@]12CC[C@](C)34)5))))	9&beta,19-cyclo-24-lanosten-3&beta-ol; cycloart-24(25)-enol; (3&beta,9&beta)-9,19-cyclolanost-24-en-3-ol	['-']
CPD-4187	-	-	3-Beta-Hydroxysterols; Delta5-Delta7-Steroids	-	7-dehydrocholesterol	-	(C 27);(H 44);(O 1)	(SEED cpd00857 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM710 NIL |kothari| 3787514190 NIL NIL); (REFMET 7-dehydrocholesterol NIL |midford| 3697479617 NIL NIL); (PUBCHEM 439423 NIL |kothari| 3686579211 NIL NIL); (CHEBI 17759 NIL |kothari| 3594051076 NIL NIL); (HMDB HMDB00032 NIL |kothari| 3608602097 NIL NIL); (LIGAND-CPD C01164 NIL |taltman| 3459474373 NIL NIL); (CAS 434-16-2)	CC(C)CCC[C@@H](C)[C@H]3(CC[C@H]4(C2([C@@H]([C@]1(CC[C@H](O)CC/1=C\C=2)(C))CC[C@](C)34)))	cholesta-5,7-dien-3 &beta-ol; cholesta-5,7-dienol; 7-dehydro-cholesterol; cholesta-5,7-dien-3&beta-ol; provitamin D3	['-']
Oxidized-Plastocyanins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
Light	-	-	Pseudo-Compounds	-	h&nu	-	['-']	(SEED cpd31000 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM517 NIL |kothari| 3787514192 NIL NIL); (CHEBI 30212 NIL |kothari| 3780416719 NIL NIL); (LIGAND-CPD C00205 NIL |qwan| 3371497723 NIL NIL)	['-']	light; photon	['-']
Plastocyanin-Reduced	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	-	-	CDP-SUGARS; Sugar-Phosphate	-	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	-	(C 14);(H 22);(N 3);(O 17);(P 3)	(ZINC ZINC000008419062 NIL |kothari| 3853420151 NIL NIL); (SEED cpd08288 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM1641 NIL |kothari| 3787514193 NIL NIL); (BIGG 2p4c2me NIL |kothari| 3661824226 NIL NIL); (CHEBI 57919 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 46878430 NIL |ong| 3523387880 NIL NIL); (LIGAND-CPD C11436 NIL |taltman| 3459474374 NIL NIL)	C[C@](OP([O-])([O-])=O)(CO)[C@H](O)COP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O	CDP-ME-2P; CDP-methyl-D-erylthritol 2-phosphate; 4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate; 4-diphosphocytidyl-2-C-methylerythritol 2-phosphate	['-']
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	-	-	Compounds	-	2-C-methyl-D-erythritol-2,4-cyclodiphosphate	-	(C 5);(H 10);(O 9);(P 2)	(ZINC ZINC000008419115 NIL |kothari| 3853420102 NIL NIL); (SEED cpd08301 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM1168 NIL |kothari| 3787514193 NIL NIL); (BIGG 2mecdp NIL |kothari| 3661824226 NIL NIL); (CHEMSPIDER 10241147 NIL |kothari| 3563631797 NIL NIL); (CHEBI 58483 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 21605869 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C11453 NIL |kr| 3346617700 NIL NIL)	C[C@@]1(CO)(OP(=O)([O-])OP(=O)([O-])OC[C@@H](O)1)	ME-2,4cPP	['-']
CMP	-	-	Pyrimidine-ribonucleosides-5-P	-	CMP	-	(C 9);(H 12);(N 3);(O 8);(P 1)	(ZINC ZINC000003861744 NIL |kothari| 3853420635 NIL NIL); (SEED cpd00046 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM31 NIL |kothari| 3787514191 NIL NIL); (REFMET CMP NIL |midford| 3701443689 NIL NIL); (BIGG cmp NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC60377 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00095 NIL |kothari| 3608602588 NIL NIL); (CHEMSPIDER 5414497 NIL |kothari| 3563631944 NIL NIL); (CHEBI 60377 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 7058165 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C00055 NIL |kr| 3346617699 NIL NIL); (CAS 63-37-6)	C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)	5'-cytidylic acid; cytidine 5'-monophosphate; cytidylate; cytidylic acid; cytidine-P; cytidine-monophosphate; cytidine-phosphate; cytidine 5'-phosphate; cytosine ribotide	['-']
ACETYL-COA	-	Fatty acyls	All-Coas	Acyl-Coenzyme A	acetyl-CoA	-	(C 23);(H 34);(N 7);(O 17);(P 3);(S 1)	(SEED cpd00022 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM21 NIL |kothari| 3787514192 NIL NIL); (REFMET Acetyl-CoA NIL |midford| 3701443689 NIL NIL); (BIGG accoa NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC57288 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01206 NIL |kothari| 3608602315 NIL NIL); (CHEBI 57288 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 45266541 NIL |ong| 3523387880 NIL NIL); (KNAPSACK C00007259 NIL |achi1| 3445698159 NIL NIL); (CAS 72-89-9); (UM-BBD-CPD c0031 NIL |kawakami| 3278884159 NIL NIL); (LIGAND-CPD C00024 NIL |kawakami| 3276028395 NIL NIL)	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(OP([O-])(OC[C@@H]1([C@@H](OP([O-])([O-])=O)[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))=O)([O-])=O	acetyl coenzyme-A; ac-CoA; acetylcoenzyme-A; acetyl-S-CoA; ac-S-CoA	['-']
CIT	-	-	Compounds	-	citrate	-	(C 6);(H 5);(O 7)	(ZINC ZINC000000895081 NIL |kothari| 3853420633 NIL NIL); (MEDIADB compounds/154/ NIL |midford| 3791153825 NIL NIL); (SEED cpd00137 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM131 NIL |kothari| 3787514192 NIL NIL); (REFMET Citric acid NIL |midford| 3701443689 NIL NIL); (BIGG cit NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC16947 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00094 NIL |kothari| 3608602924 NIL NIL); (CHEMSPIDER 29081 NIL |kothari| 3563632432 NIL NIL); (PUBCHEM 31348 NIL |taltman| 3497976212 NIL NIL); (KNAPSACK C00007619 NIL |achi1| 3445698160 NIL NIL); (CHEBI 16947 NIL |taltman| 3452363554 NIL NIL); (LIGAND-CPD C00158 NIL |kr| 3346617699 NIL NIL); (CAS 77-92-9)	C(=O)([O-])CC(C(=O)[O-])(O)CC(=O)[O-]	citr; cit; citric acid; 2-hydroxy-1,2,3-propanetricarboxylic acid	['-']
CDPDIACYLGLYCEROL	-	-	Compounds	-	CDP-diacylglycerol	-	['-']	(METANETX MNXM201 NIL |kothari| 3787514191 NIL NIL); (CHEBI 17962 NIL |kothari| 3780416719 NIL NIL); (LIGAND-CPD C00269 NIL |kr| 3346617699 NIL NIL)	C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O)	CDP-diglyceride; CDP-1,2-diglyceride; CDP-1,2-diacylglycerol	['-']
L-1-PHOSPHATIDYL-SERINE	-	Glycerophospholipids	Phosphoglycerides	Phosphatidylserine	phosphatidylserine	-	['-']	(HMDB HMDB14291 NIL |kothari| 3787939153 NIL NIL); (METANETX MNXM221 NIL |kothari| 3787514194 NIL NIL); (CHEBI 11750 NIL |kothari| 3542236545 NIL NIL); (LIGAND-CPD C02737 NIL |kr| 3346617699 NIL NIL)	C([C@H](OC([R2])=O)COC([R1])=O)OP([O-])(=O)OC[C@@H](C([O-])=O)[NH3+]	3-sn-phosphatidyl-L-serine; 3-O-sn-phosphatidyl-L-serine; O-sn-phosphatidyl-L-serine; phosphatidyl-serine; L-1-phosphatidylserine; phosphatidyl-L-serine; 1-phosphatidyl-serine	['-']
PHOSPHORYL-CHOLINE	-	-	Compounds	-	phosphocholine	-	(C 5);(H 13);(N 1);(O 4);(P 1)	(ZINC ZINC000001532692 NIL |kothari| 3853426048 NIL NIL); (SEED cpd00457 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM229 NIL |kothari| 3787514192 NIL NIL); (REFMET Choline phosphate NIL |midford| 3701443689 NIL NIL); (METABOLIGHTS MTBLC295975 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01565 NIL |kothari| 3608602101 NIL NIL); (CHEMSPIDER 2578067 NIL |kothari| 3563632171 NIL NIL); (CHEBI 295975 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 3330960 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C00588 NIL |kr| 3410284649 NIL NIL); (CAS 107-73-3)	C[N+](CCOP([O-])([O-])=O)(C)C	choline-phosphate; phosphoryl-choline; O-phosphocholine	['-']
CPD-14553	-	-	Alpha-D-Galactosides; UDP-sugar	-	UDP-&alpha-D-galactose	-	(C 15);(H 22);(N 2);(O 17);(P 2)	(ZINC ZINC000008551104 NIL |kothari| 3853426403 NIL NIL); (METANETX MNXM89795 NIL |kothari| 3787514190 NIL NIL); (BIGG udpgal NIL |kothari| 3661824226 NIL NIL); (CHEBI 66914 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 9549262 NIL |kothari| 3641818092 NIL NIL); (METABOLIGHTS MTBLC66914 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00302 NIL |kothari| 3608602439 NIL NIL); (CHEMSPIDER 17069 NIL |kothari| 3573843430 NIL NIL); (CAS 2956-16-3); (LIGAND-CPD C00052 NIL |kr| 3346617700 NIL NIL)	C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])	UDP-&alpha-D-galactopyranose; UDP-galactose; UDP-Gal	['-']
DIACYLGLYCEROL	SUPER	Glycerolipids	1-2-Diglycerides	Diacylglycerol	1,2-diacyl-sn-glycerol	-	['-']	(METANETX MNXM59 NIL |kothari| 3787514190 NIL NIL); (BIGG 1 NIL |kothari| 3781452073 NIL NIL); (CHEBI 17815 NIL |kothari| 3498959776 NIL NIL); (LIGAND-CPD C00641 NIL |kothari| 3458491290 NIL NIL)	C(O)[C@@H](COC(=O)[R1])OC(=O)[R2]	D-1,2-diglyceride; 1,2-diacylglycerol; D-1,2-diacylglycerol; DAG	['-']
CPD-13040	DIACYLGLYCEROL	Glycerolipids	DIACYLGLYCEROL	Diacylglycerol	1,2-dibutyrin	-	(C 11);(H 20);(O 5)	(ZINC ZINC000013515665 NIL |kothari| 3853422237 NIL NIL); (CHEBI 177530 NIL |kothari| 3842014750 NIL NIL); (SEED cpd23712 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM9527 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 5327007 NIL |kothari| 3651883220 NIL NIL); (CHEMSPIDER 8352519 NIL |kothari| 3563631900 NIL NIL); (CAS 24814-35-5 NIL |dreher| 3504652426 NIL NIL)	CCCC(OC[C@@H](OC(CCC)=O)CO)=O	glycerol 1,2-dibutanoate; &beta-dibutyrin; butanoic acid, 1-(hydroxymethyl)-1,2-ethanediyl ester; dibutyrylglycerol	['-']
D-Galactosyl-12-diacyl-glycerols	-	Glycerolipids	Galactolipids	Monohexosyldiacylglycerol	1,2-diacyl-3-O-(&beta-D-galactopyranosyl)-sn-glycerol	-	['-']	(SEED cpd12371 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM910 NIL |kothari| 3787514190 NIL NIL); (CHEBI 17615 NIL |kothari| 3498844408 NIL NIL); (LIGAND-CPD C03692 NIL |kothari| 3498844408 NIL NIL)	C(OC(=O)[R1])[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))OC(=O)[R2]	monogalactosyl-diacylglycerol; monogalactosyldiacylglycerol; D-galactosyldiacylglycerol; 3-(&beta-D-galactosyl)-1,2-diacyl-sn-glycerol; 3-&beta-D-galactosyl-1,2-diacylglycerol; monogalactosyldiglyceride; MGDG; Gal&beta1->3acyl2Gro; mono-&beta-D-galactosyldiacylglycerol; 1,2-diacyl-3-&beta-D-galactosyl-sn-glycerol; &beta-monogalactosyldiacylglycerol; 1,2-diacyl-3-O-(&beta-D-galactosyl)-sn-glycerol	['-']
CPD1F-139	-	-	Gibberellins	-	gibberellin A1	-	(C 19);(H 23);(O 6)	(ZINC ZINC000100198878 NIL |kothari| 3853422492 NIL NIL); (SEED cpd00640 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM1832 NIL |kothari| 3787514192 NIL NIL); (CHEBI 27717 NIL |kothari| 3594051034 NIL NIL); (PUBCHEM 25202506 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C00859 NIL |kr| 3410284649 NIL NIL)	C=C1([C@@]3(O)(C[C@]4(C1)([C@H]([C@@H]5([C@]2(C(=O)O[C@](CC[C@H](O)2)([C@@H](CC3)4)5)(C)))C([O-])=O)))	GA1; GA1; gibberellin 1	['-']
2-ACETO-LACTATE	-	-	CPD-12642	-	(S)-2-acetolactate	-	(C 5);(H 7);(O 4)	(ZINC ZINC000000895425 NIL |kothari| 3853420080 NIL NIL); (SEED cpd19047 NIL |kothari| 3788273830 NIL NIL); (METANETX MNXM114079 NIL |kothari| 3787514193 NIL NIL); (BIGG alac__S NIL |kothari| 3661824226 NIL NIL); (HMDB HMDB06855 NIL |kothari| 3608602124 NIL NIL); (CHEMSPIDER 19951073 NIL |kothari| 3563631847 NIL NIL); (CHEBI 58476 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 13999770 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C06010 NIL |keseler| 3342802103 NIL NIL)	CC(=O)[C@](C)(O)C(=O)[O-]	(S)-2-hydroxy-2-methyl-3-oxobutanoate; &alpha-acetolactate; (2S)-2-hydroxy-2-methyl-3-oxobutanoate	['-']
PHOSPHO-ENOL-PYRUVATE	-	-	Monocarboxylates	-	phosphoenolpyruvate	-	(C 3);(H 2);(O 6);(P 1)	(ZINC ZINC000003870145 NIL |kothari| 3853426040 NIL NIL); (SEED cpd00061 NIL |kothari| 3788273830 NIL NIL); (METANETX MNXM73 NIL |kothari| 3787514190 NIL NIL); (REFMET Phosphoenolpyruvic acid NIL |midford| 3701443689 NIL NIL); (BIGG pep NIL |kothari| 3661824226 NIL NIL); (HMDB HMDB00263 NIL |kothari| 3608601855 NIL NIL); (CHEMSPIDER 2907208 NIL |kothari| 3563632205 NIL NIL); (CHEBI 58702 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 3674425 NIL |taltman| 3466375285 NIL NIL); (CAS 138-08-9 NIL |kr| 3346617701 NIL NIL); (LIGAND-CPD C00074 NIL |kr| 3346617701 NIL NIL)	C=C(OP(=O)([O-])[O-])C([O-])=O	PEP; 2-(phosphooxy)- 2-propenoate	['-']
AMP	-	-	Purine-ribonucleosides-5-P	-	AMP	-	(C 10);(H 12);(N 5);(O 7);(P 1)	(ZINC ZINC000003860156 NIL |kothari| 3853420486 NIL NIL); (REFMET AMP NIL |midford| 3701443689 NIL NIL); (BIGG amp NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC456215 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00045 NIL |kothari| 3594494378 NIL NIL); (CHEMSPIDER 10239183 NIL |kothari| 3563631842 NIL NIL); (CHEBI 456215 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 15938965 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C00020 NIL |kr| 3346617700 NIL NIL); (CAS 61-19-8); (NCI 20264)	C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)	5'-AMP; adenosine-monophosphate; adenylic acid; adenosine 5'-phosphate; adenosine 5'-monophosphate; adenylate; 5'-adenylic acid; 5'-adenosine monophosphate; adenine ribotide	['-']
Oxidized-flavodoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
Reduced-flavodoxins	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
1-KETO-2-METHYLVALERATE	-	Fatty acyls	Compounds	Non-esterified fatty acid	(R)-2,3-dihydroxy-3-methylpentanoate	-	(C 6);(H 11);(O 4)	(ZINC ZINC000000895979 NIL |kothari| 3853420047 NIL NIL); (SEED cpd19046 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM1202 NIL |kothari| 3787514191 NIL NIL); (BIGG 23dhmp NIL |kothari| 3661824226 NIL NIL); (CHEBI 49258 NIL |kothari| 3641835422 NIL NIL); (PUBCHEM 21145376 NIL |kothari| 3641818093 NIL NIL); (HMDB HMDB12140 NIL |kothari| 3608601857 NIL NIL); (CHEMSPIDER 13641636 NIL |kothari| 3563631800 NIL NIL); (LIGAND-CPD C06007 NIL |kr| 3346617701 NIL NIL)	CC[C@@](C)(O)[C@H](C([O-])=O)O	(R)-2,3-dihydroxy-3-methylvalerate	['-']
2-KETO-3-METHYL-VALERATE	-	Fatty acyls	CPD-21103	Non-esterified fatty acid	(3S)-3-methyl-2-oxopentanoate	-	(C 6);(H 9);(O 3)	(ZINC ZINC000001532715 NIL |kothari| 3853420131 NIL NIL); (SEED cpd00508 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM439 NIL |kothari| 3787514190 NIL NIL); (REFMET (S)-3-Methyl-2-oxopentanoic acid NIL |midford| 3701443689 NIL NIL); (BIGG 3mop NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC35146 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00491 NIL |kothari| 3608640791 NIL NIL); (CHEMSPIDER 19951083 NIL |kothari| 3563631976 NIL NIL); (CHEBI 35146 NIL |taltman| 3466399943 NIL NIL); (PUBCHEM 6857401 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C00671 NIL |kr| 3346617699 NIL NIL); (CAS 1460-34-0)	CC[C@H](C)C(=O)C([O-])=O	(S)-3-methyl-2-oxopentanoate; &alpha-keto-methylvalerate; 2-oxo-3-methylvalerate; (S)-2-oxo-3-methylpentanoate; (S)-3-methyl-2-oxovalerate; 2-oxo-3-methylpentanoate; 3-methyl-2-oxopentanoate; &alpha-keto-&beta-methyl-valerate; 2-keto-3-methyl-valerate; 2-keto-isoleucine	['-']
MYO-INOSITOL	-	-	Inositols	-	myo-inositol	-	(C 6);(H 12);(O 6)	(ZINC ZINC000100018867 NIL |kothari| 3853425821 NIL NIL); (MEDIADB compounds/134/ NIL |midford| 3791153824 NIL NIL); (REFMET Myo-inositol NIL |midford| 3697479617 NIL NIL); (BIGG inost NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC17268 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00211 NIL |kothari| 3594494376 NIL NIL); (DRUGBANK DB03106 NIL |kothari| 3594430443 NIL NIL); (CHEMSPIDER 868 NIL |kothari| 3563632878 NIL NIL); (KNAPSACK C00001164 NIL |achi1| 3445698172 NIL NIL); (CAS 6917-35-7 NIL |hopkinso| 3309793078 NIL NIL); (CHEBI 17268 NIL |kothari| 3466532338 NIL NIL); (LIGAND-CPD C00137 NIL |taltman| 3452530718 NIL NIL); (PUBCHEM 892 NIL |taltman| 3448034169 NIL NIL); (CAS 87-89-8 NIL |kr| 3346617699 NIL NIL)	[C@H]1([C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)O	cis-1,2,3,5-trans-4,6-cyclohexanehexol; dambose; mesoinositol; meso-inositol; M-inositol; 1,2,3,5/4,6 inositol	['-']
L-1-phosphatidyl-inositols	SUPER	Glycerophospholipids	Phosphatidylinositols	Phosphatidylinositol	1-phosphatidyl-1D-myo-inositol	-	['-']	(SEED cpd27343 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM162411 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 25245335 NIL |taltman| 3466375284 NIL NIL); (HMDB HMDB06953 NIL |kothari| 3608640722 NIL NIL); (CHEBI 57880 NIL |caspi| 3699192338 NIL NIL); (CHEBI 16749 NIL |kothari| 3494173886 NIL NIL); (LIGAND-CPD C01194 NIL |kothari| 3494173886 NIL NIL)	C(OC(=O)[R1])[C@H](COP(=O)([O-])O[C@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1))OC(=O)[R2]	1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol); 1-phosphatidyl-1D-myo-inositol; phosphatidylinositol; 1-phosphatidyl-D-myo-inositol; 1-phosphatidylinositol; L-1-phosphatidylinositol; phosphatidyl-inositol; L-1-phosphatidyl-inositol; phosphatidyl-1D-myo-inositol; (3-phosphatidyl)-1-D-inositol; PtdIns	['-']
