ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
57222428-ERGOSTATETRAENOL	Sterols	-	Sterols	-	ergosta-5,7,22,24(28)-tetraen-3&beta-ol	-	(C 28);(H 42);(O 1)	(SEED cpd03223 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM1109 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 11090531 NIL |kothari| 3641818092 NIL NIL); (CHEMSPIDER 4444350 NIL |kothari| 3563632117 NIL NIL); (CHEBI 18249 NIL |kothari| 3542232049 NIL NIL); (LIGAND-CPD C05440 NIL |kr| 3410284649 NIL NIL)	CC(C)C(/C=C/[C@@H](C)[C@H]3(CC[C@H]4(C2([C@@H]([C@]1(CC[C@H](O)CC/1=C\C=2)(C))CC[C@](C)34))))=C	5,7,22,24(28)-ergostatetraenol; ergosta-5,7,22,23(28)-tetraen-3&beta-ol; ergosta-5,7,22,24(241)-tetraen-3&beta-ol	['-']
Very-Long-Chain-Alcohols	-	-	Fatty-Alcohols	-	very-long-chain fatty alcohol	-	['-']	(SEED cpd28325 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM2420 NIL |kothari| 3787514194 NIL NIL)	C(CCCCCCCCCCCCCCCCCCCCCCO)[R]	['-']	['-']
VERY-LONG-CHAIN-FATTY-ACYL-COA	SUPER	Fatty acyls	Fatty-Acyl-CoAs	Acyl-Coenzyme A	very-long-chain fatty acyl-CoA	-	['-']	(SEED cpd28320 NIL |kothari| 3788273832 NIL NIL); (CHEBI 61910 NIL |kothari| 3787535119 NIL NIL); (METANETX MNXM13258 NIL |kothari| 3787514190 NIL NIL)	C(CCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])[R]	very-long-chain fatty acyl-coenzyme A; very-long-chain acyl-CoA	['-']
CPD-14276	SUPER	Fatty acyls	Very-Long-Chain-3-Hydroxyacyl-CoAs	Acyl-Coenzyme A	(3R)-3-hydroxybehenoyl-CoA	-	(C 43);(H 74);(N 7);(O 18);(P 3);(S 1)	(SEED cpd24267 NIL |kothari| 3788273829 NIL NIL); (HMDB HMDB60216 NIL |kothari| 3787939153 NIL NIL); (METANETX MNXM162568 NIL |kothari| 3787514194 NIL NIL); (PUBCHEM 72193817 NIL |kothari| 3619400336 NIL NIL); (CHEBI 76375 NIL |kothari| 3608037945 NIL NIL)	CCCCCCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))=O	(3R)-3-hydroxydocosanoyl-CoA	['-']
CPD-8086	-	Glycerophospholipids	Phosphatidylglycerols-34-2	Phosphatidylglycerol	1-linoleoyl-2-palmitoyl-phosphatidylglycerol	phosphatidylglycerol (1-18:2-2-16:0); 18:2-16:0-PG; 1-18:2-2-16:0-phosphatidylglycerol	(C 40);(H 74);(O 10);(P 1)	(ZINC ZINC000062240842 NIL |kothari| 3853423862 NIL NIL); (SEED cpd25036 NIL |kothari| 3788273826 NIL NIL); (HMDB HMDB10645 NIL |kothari| 3787939154 NIL NIL); (CHEBI 89351 NIL |kothari| 3787535115 NIL NIL); (METANETX MNXM7975 NIL |kothari| 3787514194 NIL NIL); (PUBCHEM 90658491 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H](CO)O	phosphatidylglycerol (1-18:2-2-16:0); 18:2-16:0-PG; 1-(9Z,12Z-octadecadienoyl)-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol); 1-18:2-2-16:0-phosphatidylglycerol	['-']
CPD-2185	-	Glycerophospholipids	Phosphatidylglycerols-34-3	Phosphatidylglycerol	1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol	18:2-t16:1-PG; 1-18:2-2-trans-16:1-phosphatidylglycerol	(C 40);(H 72);(O 10);(P 1)	(ZINC ZINC000062240827 NIL |kothari| 3853422526 NIL NIL); (METANETX MNXM7979 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90657478 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)C/C=C/CCCCCCCCCCCC)COP(=O)([O-])OC[C@H](CO)O	18:2-t16:1-PG; 1-(9Z,12Z-octadecadienoyl)-2-(3E-hexadecenoyl)-sn-glycero-3-phospho-(1'-sn-glycerol); 1-18:2-2-trans-16:1-phosphatidylglycerol	['-']
1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE	-	Glycerophospholipids	Phosphatidylcholines-36-6	Phosphatidylcholine	1-&alpha-linolenoyl-2-&alpha-linolenoyl-phosphatidylcholine	phosphatidylcholine (1-18:3-2-18:3); 18:3-18:3-PC; 1-18:3-2-18:3-sn-glycerol-3-phosphocholine; 1-18:3-2-18:3-phosphatidylcholine	(C 44);(H 76);(N 1);(O 8);(P 1)	(ZINC ZINC000085558953 NIL |kothari| 3853419990 NIL NIL); (HMDB HMDB08206 NIL |kothari| 3787939153 NIL NIL); (METANETX MNXM9575 NIL |kothari| 3787514190 NIL NIL); (CHEBI 86161 NIL |kothari| 3651889255 NIL NIL); (PUBCHEM 24778990 NIL |kothari| 3641818093 NIL NIL); (CHEMSPIDER 4946694 NIL |kothari| 3563631985 NIL NIL)	CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@@H](OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C)=O	phosphatidylcholine (1-18:3-2-18:3); 18:3-18:3-PC; 1-18:3-2-18:3-sn-glycerol-3-phosphocholine; 1,2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine; 1-18:3-2-18:3-phosphatidylcholine	['-']
CPD-4751	-	-	Diterpenes	-	ent-cassa-12,15-diene	-	(C 20);(H 32)	(ZINC ZINC000056875060 NIL |kothari| 3853422917 NIL NIL); (METANETX MNXM2821 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 11471283 NIL |kothari| 3728310938 NIL NIL); (CHEMSPIDER 9646113 NIL |kothari| 3563631876 NIL NIL); (LIGAND-CPD C18226 NIL |ong| 3523630069 NIL NIL); (CHEBI 50060 NIL |taltman| 3452362927 NIL NIL)	C=CC1([C@@H](C)[C@@H]2([C@@H](CC=1)[C@@]3(C)([C@H](CC2)C(C)(C)CCC3)))	['-']	['-']
CPD-13924	-	-	Diterpenes	-	ent-11&beta-hydroxy-ent-cassa-12,15-diene	-	(C 20);(H 32);(O 1)	(SEED cpd21383 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM5736 NIL |kothari| 3787514192 NIL NIL); (CHEBI 63662 NIL |kothari| 3728316183 NIL NIL); (LIGAND-CPD C20150 NIL |kothari| 3728315594 NIL NIL); (PUBCHEM 56927994 NIL |kothari| 3728310938 NIL NIL)	C=CC1([C@@H](C)[C@@H]2([C@@H]([C@H](O)C=1)[C@@]3(C)([C@H](CC2)C(C)(C)CCC3)))	['-']	['-']
GLYCERATE	-	-	D-2-hydroxyacids; Glycerates	-	D-glycerate	-	(C 3);(H 5);(O 4)	(ZINC ZINC000000895140 NIL |kothari| 3853425472 NIL NIL); (REACTOME-CPD 6799497 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00223 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM189 NIL |kothari| 3787514191 NIL NIL); (REFMET Glyceric acid NIL |midford| 3701443689 NIL NIL); (BIGG glyc__R NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC16659 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00139 NIL |kothari| 3594494374 NIL NIL); (CHEMSPIDER 4573914 NIL |kothari| 3563632032 NIL NIL); (CHEBI 16659 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 5460358 NIL |taltman| 3497976212 NIL NIL); (CAS 473-81-4 NIL |kr| 3346617700 NIL NIL); (LIGAND-CPD C00258 NIL |kr| 3346617700 NIL NIL); (CAS 6000-40-4)	C(=O)([O-])[C@H](O)CO	(R)-glycerate; glycerate; D-glyceric acid	['-']
OH-PYR	-	-	Compounds	-	hydroxypyruvate	-	(C 3);(H 3);(O 4)	(ZINC ZINC000001532558 NIL |kothari| 3853425969 NIL NIL); (SEED cpd00145 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM392 NIL |kothari| 3787514193 NIL NIL); (REFMET Hydroxypyruvic acid NIL |midford| 3701443689 NIL NIL); (BIGG hpyr NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC17180 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01352 NIL |kothari| 3608601886 NIL NIL); (CHEMSPIDER 3397158 NIL |kothari| 3563632188 NIL NIL); (PUBCHEM 4186339 NIL |taltman| 3466375285 NIL NIL); (CHEBI 17180 NIL |taltman| 3452363343 NIL NIL); (LIGAND-CPD C00168 NIL |kr| 3346617701 NIL NIL); (CAS 1113-60-6)	C(C(=O)C([O-])=O)O	&beta-hydroxypyruvate; OH-pyruvate; OH-pyr; 3-hydroxypyruvate; hydroxypyruvic acid; 3-hydroxy-2-oxopropanoic acid; 3-hydroxy-2-oxopropanoate	['-']
D-MYO-INOSITOL-4-PHOSPHATE	-	-	Myo-inositol-monophosphates	-	1D-myo-inositol 4-monophosphate	Ins(4)P	(C 6);(H 11);(O 9);(P 1)	(ZINC ZINC000100016164 NIL |kothari| 3853425319 NIL NIL); (REACTOME-CPD 1629753 NIL |kothari| 3788282686 NIL NIL); (SEED cpd02230 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM2063 NIL |kothari| 3787514193 NIL NIL); (REFMET Inositol-4-monophosphate NIL |midford| 3701443689 NIL NIL); (METABOLIGHTS MTBLC58469 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01313 NIL |kothari| 3608602299 NIL NIL); (CHEBI 58469 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 25200523 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C03546 NIL |sreddy| 3295721589 NIL NIL); (CAS 46495-39-0)	[C@@H]1(O)([C@H](O)[C@@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)1)	D-myo-inositol 4-phosphate; D-myo-inositol 4-monophosphate; inositol 4-phosphate; Ins(4)P1; Ins4P	['-']
CPD-8087	-	Glycerophospholipids	Phosphatidylglycerols-34-3	Phosphatidylglycerol	1-&alpha-linolenoyl-2-palmitoyl-phosphatidylglycerol	phosphatidylglycerol (1-18:3-2-16:0); 18:3-16:0-PG; 1-18:3-2-16:0-phosphatidylglycerol	(C 40);(H 72);(O 10);(P 1)	(ZINC ZINC000062240810 NIL |kothari| 3853423864 NIL NIL); (SEED cpd25037 NIL |kothari| 3788273833 NIL NIL); (HMDB HMDB10675 NIL |kothari| 3787939157 NIL NIL); (METANETX MNXM9568 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 90657393 NIL |kothari| 3641818093 NIL NIL)	CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](OC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H](CO)O	phosphatidylglycerol (1-18:3-2-16:0); 18:3-16:0-PG; 1-(9Z,12Z,15Z-octadecatrienoyl)-2-hexadecanoyl-sn-glycero-3-phospho-(1'-sn-glycerol); 1-18:3-2-16:0-phosphatidylglycerol	['-']
SHIKIMATE	-	-	Compounds	-	shikimate	-	(C 7);(H 9);(O 5)	(ZINC ZINC000003860720 NIL |kothari| 3853426231 NIL NIL); (REACTOME-CPD 964932 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00383 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM602 NIL |kothari| 3787514192 NIL NIL); (REFMET Shikimic acid NIL |midford| 3701443689 NIL NIL); (BIGG skm NIL |kothari| 3661824226 NIL NIL); (HMDB HMDB03070 NIL |kothari| 3608601651 NIL NIL); (CHEMSPIDER 5414360 NIL |kothari| 3563631944 NIL NIL); (CHEBI 36208 NIL |taltman| 3466399878 NIL NIL); (PUBCHEM 7057976 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C00493 NIL |kaipa| 3311532640 NIL NIL); (CAS 138-59-0)	C1(/[C@@H](O)[C@@H](O)[C@@H](CC(/C(=O)[O-])=1)O)	shikimic acid; (3R,4S,5R)--3,4,5-trihydroxycyclohex-1-ene-1-carboxylate	3,4,5-trihydroxy-1-cyclohexene-1-carboxylate
SHIKIMATE-5P	-	-	Compounds	-	shikimate 3-phosphate	-	(C 7);(H 8);(O 8);(P 1)	(ZINC ZINC000003870237 NIL |kothari| 3853426232 NIL NIL); (REACTOME-CPD 964859 NIL |kothari| 3788282686 NIL NIL); (SEED cpd02030 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM1265 NIL |kothari| 3787514190 NIL NIL); (BIGG skm5p NIL |kothari| 3661824226 NIL NIL); (CHEBI 145989 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 14506806 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C03175 NIL |kr| 3346617699 NIL NIL)	C(=O)([O-])C1(\C[C@@H](O)[C@H](O)[C@H](OP(=O)([O-])[O-])/C=1)	shikimate 5-phosphate; shikimate-5-P; 3-phosphoshikimate; shikimate-3-P	['-']
INOSITOL-1-4-5-TRISPHOSPHATE	-	-	Myo-inositol-trisphosphates	-	D-myo-inositol (1,4,5)-trisphosphate	Ins(1,4,5)P<sub>3</sub>	(C 6);(H 9);(O 15);(P 3)	(ZINC ZINC000004095598 NIL |kothari| 3853425601 NIL NIL); (METANETX MNXM200 NIL |kothari| 3787514192 NIL NIL); (METABOLIGHTS MTBLC203600 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01498 NIL |kothari| 3608601629 NIL NIL); (CHEMSPIDER 10375590 NIL |kothari| 3563631794 NIL NIL); (CHEBI 203600 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 21761708 NIL |taltman| 3466375284 NIL NIL); (|Wikipedia| Inositol_triphosphate NIL |caspi| 3464111436 NIL NIL); (LIGAND-CPD C01245 NIL |taltman| 3459474373 NIL NIL); (CAS 85166-31-0 NIL |hopkinso| 3309792823 NIL NIL); (CAS 88269-39-0 NIL |hopkinso| 3309792823 NIL NIL)	[C@@H]1(O)([C@@H](OP([O-])([O-])=O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](O)1)	inositol (1,4,5)-trisphosphate; 1D-myo-inositol (1,4,5)-trisphosphate; I(1,4,5)P3; InsP3; IP3; triphosphoinositol	['-']
Donor-H2	-	-	Hydride-Acceptors	-	reduced two electron carrier	A(H2)	['-']	(SEED cpd26978 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM36 NIL |kothari| 3787514192 NIL NIL); (CHEBI 17499 NIL |kothari| 3458488187 NIL NIL); (LIGAND-CPD C00030 NIL |kothari| 3458488187 NIL NIL)	[an oxidized electron carrier]	reduced unknown two electron donor; A(H2); reduced unknown two electron acceptor	['-']
CPD-8162	-	Glycerolipids	Digalactosyldiacylglycerols-34-3	Dihexosyldiacylglycerol	1-18:3-2-16:0-digalactosyldiacylglycerol	18:3-16:0-DGDG	(C 49);(H 86);(O 15)	(SEED cpd25071 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM13873 NIL |kothari| 3787514194 NIL NIL); (PUBCHEM 90657885 NIL |kothari| 3641818092 NIL NIL)	CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCCCCCCCCCC)=O	18:3-16:0-DGDG	['-']
Acceptor	-	-	Hydride-Acceptors	-	oxidized electron carrier	A	['-']	(REACTOME-CPD 5359011 NIL |kothari| 3788282686 NIL NIL); (METANETX MNXM8975 NIL |kothari| 3787514192 NIL NIL); (LIGAND-CPD C00028 NIL |qwan| 3371849575 NIL NIL); (CHEBI 15339 NIL |taltman| 3498851560 NIL NIL)	['-']	A; oxidized unknown electron donor; oxidized unknown electron acceptor	['-']
Hexanoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
3-Oxo-octanoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CDP-CHOLINE	-	-	Nucleoside-Diphosphocholines	-	CDP-choline	-	(C 14);(H 25);(N 4);(O 11);(P 2)	(ZINC ZINC000006507065 NIL |kothari| 3853420596 NIL NIL); (REACTOME-CPD 1524060 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00256 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM283 NIL |kothari| 3787514193 NIL NIL); (REFMET Cytidine 5'-diphosphocholine NIL |midford| 3701443689 NIL NIL); (HMDB HMDB01413 NIL |kothari| 3608602410 NIL NIL); (CHEBI 58779 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 25202509 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C00307 NIL |taltman| 3459474373 NIL NIL); (CAS 987-78-0)	C[N+](C)(C)CCOP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O	citicoline; citicholine; cidifos; cyticholine; cytidine 5'-diphosphocholine; cytidine diphosphate choline	['-']
CPD-501	-	-	Compounds	-	&alpha-D-galacturonate 1-phosphate	-	(C 6);(H 8);(O 10);(P 1)	(ZINC ZINC000004096292 NIL |kothari| 3853422973 NIL NIL); (SEED cpd02497 NIL |kothari| 3788273826 NIL NIL); (METANETX MNXM2310 NIL |kothari| 3787514193 NIL NIL); (CHEBI 58186 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 25244009 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C04037 NIL |kr| 3410284650 NIL NIL)	C(=O)([O-])[C@H]1(O[C@@H]([C@@H]([C@H]([C@H]1O)O)O)OP([O-])([O-])=O)	1-phospho-&alpha-D-galacturonate; D-galacturonate-1-P; galacturonate-1-phosphate; galacturonate-1-P; D-galacturonate 1-phosphate	['-']
Galactosyl-galactosyl-diacyl-glycerols	-	Glycerolipids	DGDG	Dihexosyldiacylglycerol	&alpha,&beta-digalactosyldiacylglycerol	-	['-']	(SEED cpd12594 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM96195 NIL |kothari| 3787514190 NIL NIL); (LIGAND-CPD C06037 NIL |kothari| 3499016203 NIL NIL); (CHEBI 28396 NIL |kothari| 3499016203 NIL NIL)	C(O)[C@H]1(O[C@@H]([C@H](O)[C@@H](O)[C@@H](O)1)OC[C@H]2(O[C@@H](OC[C@@H](COC(=O)[R1])OC(=O)[R2])[C@H](O)[C@@H](O)[C@@H](O)2))	(&alpha-D-galactosyl-(1->6)-&beta-D-galactosyl)-1,2-diacyl-sn-glycerol; 3(&alpha-D-galactosyl-(1->6)-&beta-D-galactosyl)-1,2-diacyl-sn-glycerol; DGDG; &alpha-D-galactosyl-&beta-D-galactosyldiacylglycerol	['-']
CPD-9923	-	-	Compounds	-	(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate	-	(C 11);(H 10);(O 6)	(ZINC ZINC000004096915 NIL |kothari| 3853424994 NIL NIL); (SEED cpd03451 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM1249 NIL |kothari| 3787514194 NIL NIL); (CHEBI 58689 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 25246102 NIL |taltman| 3497976212 NIL NIL); (LIGAND-CPD C05817 NIL |kothari| 3493053355 NIL NIL)	C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-])	SHCHC; (1R,6R)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate; 2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID	['-']
O-SUCCINYLBENZOATE	-	-	Compounds	-	2-succinylbenzoate	-	(C 11);(H 8);(O 5)	(ZINC ZINC000000901470 NIL |kothari| 3853425980 NIL NIL); (SEED cpd01772 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM1212 NIL |kothari| 3787514191 NIL NIL); (BIGG sucbz NIL |kothari| 3661824226 NIL NIL); (DRUGBANK DB02251 NIL |kothari| 3594430408 NIL NIL); (CHEMSPIDER 4573649 NIL |kothari| 3563632050 NIL NIL); (PUBCHEM 5459922 NIL |taltman| 3466375285 NIL NIL); (CHEBI 18325 NIL |taltman| 3452363558 NIL NIL); (LIGAND-CPD C02730 NIL |kr| 3346617700 NIL NIL)	C1(\C=C/C(/C(=O)[O-])=C(\C=1)/C(=O)CCC(=O)[O-])	o-succinyl-benzoate; 2-succinyl-benzoate; o-succinylbenzoate; 4-(2-carboxyphenyl)-4-oxobutanoate	['-']
Hex-2-enoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
