ID	Super_compound_class	Lipid_Category	Compound_type	Main_Class	Common_name	Abbreviation	Chemical_formula	DB_links	SMILES	Synonyms	Systematic_name
ACETOL	-	-	Compounds	-	hydroxyacetone	-	(C 3);(H 6);(O 2)	(ZINC ZINC000000895664 NIL |kothari| 3853420413 NIL NIL); (SEED cpd03105 NIL |kothari| 3788273830 NIL NIL); (METANETX MNXM1744 NIL |kothari| 3787514193 NIL NIL); (REFMET Hydroxyacetone NIL |midford| 3697479617 NIL NIL); (BIGG acetol NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC27957 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB06961 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 16490019 NIL |kothari| 3563632601 NIL NIL); (PUBCHEM 8299 NIL |taltman| 3466375284 NIL NIL); (CHEBI 27957 NIL |taltman| 3452363594 NIL NIL); (LIGAND-CPD C05235 NIL |kr| 3410284649 NIL NIL)	CC(=O)CO	1-hydroxy-2-propanone; acetol; acetylmethanol; 1-hydroxyacetone	['-']
METHYL-GLYOXAL	-	-	Ketals	-	methylglyoxal	-	(C 3);(H 4);(O 2)	(ZINC ZINC000001532681 NIL |kothari| 3853425802 NIL NIL); (REACTOME-CPD 5694074 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00428 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM310 NIL |kothari| 3787514191 NIL NIL); (REFMET Pyruvaldehyde NIL |midford| 3697479617 NIL NIL); (BIGG mthgxl NIL |kothari| 3661824225 NIL NIL); (DRUGBANK DB03587 NIL |kothari| 3651932122 NIL NIL); (METABOLIGHTS MTBLC17158 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01167 NIL |kothari| 3608597114 NIL NIL); (CHEMSPIDER 857 NIL |kothari| 3563632880 NIL NIL); (PUBCHEM 880 NIL |taltman| 3466375285 NIL NIL); (CHEBI 17158 NIL |taltman| 3452363371 NIL NIL); (LIGAND-CPD C00546 NIL |kr| 3346617698 NIL NIL); (CAS 78-98-8)	CC(C=O)=O	2-oxopropanal; acetylformaldehyde; pyruvic aldehyde; pyruvaldehyde	['-']
CPD-2961	-	-	Carbohydrate-acid-derivatives	-	D-gluconate 6-phosphate	-	(C 6);(H 10);(O 10);(P 1)	(ZINC ZINC000001532623 NIL |kothari| 3853422594 NIL NIL); (REACTOME-CPD 29996 NIL |kothari| 3788282686 NIL NIL); (SEED cpd00284 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM325 NIL |kothari| 3787514193 NIL NIL); (REFMET 6-Phosphogluconic acid NIL |midford| 3701443689 NIL NIL); (BIGG 6pgc NIL |kothari| 3661824226 NIL NIL); (METABOLIGHTS MTBLC58759 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB01316 NIL |kothari| 3608602683 NIL NIL); (CHEBI 58759 NIL |ong| 3523630742 NIL NIL); (PUBCHEM 36688186 NIL |ong| 3523387880 NIL NIL); (LIGAND-CPD C00345 NIL |kr| 3346617699 NIL NIL)	C([C@H]([C@H]([C@@H]([C@H](C([O-])=O)O)O)O)O)OP([O-])([O-])=O	6-p gluconate; 6-phospho gluconate; 6-phosphogluconic acid; 6-phospho D-gluconate	['-']
CPD-12365	-	-	All-Nucleosides	-	8-oxo-dGMP	-	(C 10);(H 12);(N 5);(O 8);(P 1)	(ZINC ZINC000012501484 NIL |kothari| 3853421900 NIL NIL); (REACTOME-CPD 2395817 NIL |kothari| 3788282686 NIL NIL); (SEED cpd21207 NIL |kothari| 3788273831 NIL NIL); (HMDB HMDB11670 NIL |kothari| 3787939154 NIL NIL); (METANETX MNXM2497 NIL |kothari| 3787514192 NIL NIL); (LIGAND-CPD C19968 NIL |kothari| 3787329138 NIL NIL); (PUBCHEM 135871111 NIL |kothari| 3760047716 NIL NIL); (CHEBI 63224 NIL |kothari| 3557072876 NIL NIL)	C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(NC(=O)1)=2)))C[C@H](O)3)	7,8-dihydro-8-oxo-2'-dGMP; 2'-deoxy-7,8-dihydro-8-oxo-guanosine 5'-phosphate; 8-oxo-deoxyguanosine-monophosphate	['-']
MESO-DIAMINOPIMELATE	-	-	CPD-20332; L-Amino-Acids; Lysine-or-DAP	-	meso-diaminopimelate	-	(C 7);(H 14);(N 2);(O 4)	(ZINC ZINC000001532722 NIL |kothari| 3853425786 NIL NIL); (SEED cpd00516 NIL |kothari| 3788273830 NIL NIL); (METANETX MNXM529 NIL |kothari| 3787514192 NIL NIL); (REFMET 2,6-diaminopimelic acid NIL |midford| 3697479617 NIL NIL); (BIGG 26dap__M NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC57791 NIL |kothari| 3608991478 NIL NIL); (CHEBI 57791 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 1549101 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C00680 NIL |kr| 3346617701 NIL NIL); (CAS 922-54-3)	C([C@H](CCC[C@H](C([O-])=O)[NH3+])[NH3+])([O-])=O	meso-2,6-diaminopimelate; meso-A2pm; meso-diaminoheptanedioate; meso-2,6-diaminoheptanedioate; meso-1-&alpha,&epsilon-diaminopimelate; D,L-diaminopimelate; D,L-DAP; D,L-meso-diaminoheptanedioate; M-DAP	['-']
LYS	-	-	Amino-Acids-20; Basic-Amino-Acids; L-Amino-Acids; Lysine-or-DAP; Positively-charged-polar-amino-acids	-	L-lysine	lys	(C 6);(H 15);(N 2);(O 2)	(ZINC ZINC000001532522 NIL |kothari| 3853425766 NIL NIL); (MEDIADB compounds/14810/ NIL |midford| 3791153825 NIL NIL); (MEDIADB compounds/47/ NIL |midford| 3791153824 NIL NIL); (METANETX MNXM78 NIL |kothari| 3787514190 NIL NIL); (REFMET Lysine NIL |midford| 3701443689 NIL NIL); (BIGG lys__L NIL |kothari| 3661871748 NIL NIL); (CHEMSPIDER 5747 NIL |caspi| 3680272109 NIL NIL); (METABOLIGHTS MTBLC32551 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00182 NIL |kothari| 3608602970 NIL NIL); (CHEBI 32551 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 5460926 NIL |ong| 3523387880 NIL NIL); (LIGAND-CPD C00047 NIL |kawakami| 3276028494 NIL NIL); (CAS 56-87-1)	C([NH3+])CCC[C@H]([NH3+])C([O-])=O	K; lysine; L-lys; 2,6-diaminohexanoic acid; lysine acid; lys	['-']
CPD-8083	-	Glycerolipids	Digalactosyldiacylglycerols-36-5	Dihexosyldiacylglycerol	1-18:2-2-18:3-digalactosyldiacylglycerol	18:2-18:3-DGDG	(C 51);(H 86);(O 15)	(SEED cpd25034 NIL |kothari| 3788273833 NIL NIL); (METANETX MNXM9565 NIL |kothari| 3787514191 NIL NIL); (PUBCHEM 90658674 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)=O	18:2-18:3-DGDG; 1-(9Z,12Z-octadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-[alpha-D-galactosyl-(1->6)-O-beta-D-galactosyl]-sn-glycerol	['-']
CPD-8081	-	Glycerolipids	Digalactosyldiacylglycerols-36-6	Dihexosyldiacylglycerol	1-18:3-2-18:3-digalactosyldiacylglycerol	18:3-18:3-DGDG	(C 51);(H 84);(O 15)	(METANETX MNXM9573 NIL |kothari| 3787514190 NIL NIL); (PUBCHEM 91820238 NIL |kothari| 3651883220 NIL NIL)	CC\C=C/C\C=C/C\C=C/CCCCCCCC(OC[C@H](CO[C@@H]2(O[C@H](CO[C@@H]1(O[C@H](CO)[C@H](O)[C@H](O)[C@@H](O)1))[C@H](O)[C@H](O)[C@@H](O)2))OC(=O)CCCCCCC\C=C/C/C=C/C\C=C/CC)=O	18:3-18:3-DGDG; 1,2-(9Z,12Z,15Z-octadecatrienoyl)-3-O-[&alpha-D-galactosyl-(1->6)-O-&beta-D-galactosyl]-sn-glycerol	['-']
GLYOX	-	-	2-Oxo-carboxylates	-	glyoxylate	-	(C 2);(H 1);(O 3)	(ZINC ZINC000004658554 NIL |kothari| 3853425491 NIL NIL); (SEED cpd00040 NIL |kothari| 3788273827 NIL NIL); (METANETX MNXM69 NIL |kothari| 3787514193 NIL NIL); (CHEBI 36655 NIL |kothari| 3716218713 NIL NIL); (REFMET Glyoxylic acid NIL |midford| 3701443689 NIL NIL); (BIGG glx NIL |kothari| 3661824225 NIL NIL); (METABOLIGHTS MTBLC36655 NIL |kothari| 3609160995 NIL NIL); (HMDB HMDB00119 NIL |kothari| 3608601662 NIL NIL); (KNAPSACK C00001186); (PUBCHEM 3614358 NIL |taltman| 3466375285 NIL NIL); (LIGAND-CPD C00048 NIL |kr| 3346617698 NIL NIL); (CAS 298-12-4)	C(C(=O)[O-])=O	glyoxalate; glyox; glyoxylic acid	['-']
Very-long-Chain-234-Saturated-acyl-CoAs	SUPER; SUPER	Fatty acyls	Saturated-Fatty-Acyl-CoA; VERY-LONG-CHAIN-FATTY-ACYL-COA	Acyl-Coenzyme A	very-long-chain 2,3,4-saturated fatty acyl CoA	-	['-']	(SEED cpd28329 NIL |kothari| 3788273827 NIL NIL); (CHEBI 90731 NIL |kothari| 3787535128 NIL NIL); (METANETX MNXM163725 NIL |kothari| 3787514192 NIL NIL)	C(CCCCCCCCCCCCCCCCCCCCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[R]	['-']	['-']
Very-Long-Chain-oxoacyl-CoAs	-	Fatty acyls	3-KETOACYL-COA	Acyl-Coenzyme A	very-long-chain oxoacyl-CoA	-	['-']	(SEED cpd28328 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM97441 NIL |kothari| 3787514192 NIL NIL)	C(CCCCCCCCCCCCCCCCCCCC(=O)CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)[R]	['-']	['-']
2-Acylglycero-Phosphocholines	-	Glycerophospholipids	1-Lyso-phospholipids; Lysophosphatidylcholines	Lysophophatidylcholine	1-lysophosphatidylcholine	-	['-']	(REACTOME-CPD 975614 NIL |kothari| 3788282686 NIL NIL); (SEED cpd02603 NIL |kothari| 3788273831 NIL NIL); (METANETX MNXM447 NIL |kothari| 3786132369 NIL NIL); (LIGAND-CPD C04233 NIL |kothari| 3535723080 NIL NIL); (CHEBI 16728 NIL |kothari| 3494163436 NIL NIL)	C([N+](C)(C)C)COP([O-])(=O)OC[C@H](OC([R])=O)CO	2-acylglycero-3-phosphocholine; L-1-lysolecithin; 1-lyso-2-acyl-sn-glycero-3-phosphocholine; 1-lysolecithin; &beta-lysophosphatidylcholine; 2-acylglycerophosphocholine; 2-acyl 1-lyso-sn-glycero-3-phosphatidylcholine; 2-acyl-sn-glycero-3-phosphocholine	['-']
D-glucopyranose-6-phosphate	SUPER	-	Glucose-6-phosphate	-	D-glucopyranose 6-phosphate	-	(C 6);(H 11);(O 9);(P 1)	(MEDIADB compounds/90/ NIL |midford| 3791153824 NIL NIL); (REACTOME-CPD 1629756 NIL |kothari| 3788282686 NIL NIL); (METANETX MNXM160 NIL |kothari| 3787514191 NIL NIL); (CHEBI 4170 NIL |kothari| 3498957430 NIL NIL); (LIGAND-CPD C00092 NIL |kothari| 3458490897 NIL NIL)	C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O	D-glucopyranose-6-P	['-']
ALPHA-GLC-6-P	D-glucopyranose-6-phosphate	-	D-glucopyranose-6-phosphate	-	&alpha-D-glucose 6-phosphate	-	(C 6);(H 11);(O 9);(P 1)	(ZINC ZINC000003875375 NIL |kothari| 3853420462 NIL NIL); (SEED cpd19006 NIL |kothari| 3788273828 NIL NIL); (METANETX MNXM215 NIL |kothari| 3787514194 NIL NIL); (CHEMSPIDER 10239175 NIL |kothari| 3563631798 NIL NIL); (CHEBI 58225 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 21604864 NIL |taltman| 3466375284 NIL NIL); (LIGAND-CPD C00668 NIL |kr| 3345587433 NIL NIL)	C(OP(=O)([O-])[O-])[C@H]1(O[C@H](O)[C@H](O)[C@@H](O)[C@H](O)1)	&alpha-glucose 6-phosphate; &alpha-D-glucose-6-P	['-']
GLC-6-P	D-glucopyranose-6-phosphate	-	D-glucopyranose-6-phosphate	-	&beta-D-glucose 6-phosphate	-	(C 6);(H 11);(O 9);(P 1)	(ZINC ZINC000003875374 NIL |kothari| 3853425452 NIL NIL); (SEED cpd00863 NIL |kothari| 3788273832 NIL NIL); (METANETX MNXM508 NIL |kothari| 3787514191 NIL NIL); (BIGG g6p NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB03498 NIL |kothari| 3608601843 NIL NIL); (CHEMSPIDER 10239176 NIL |kothari| 3563631798 NIL NIL); (CHEBI 58247 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 21604865 NIL |ong| 3523387880 NIL NIL); (LIGAND-CPD C01172 NIL |keseler| 3349792009 NIL NIL)	C([C@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O	&beta-D-glucose-6-P	['-']
2-Hexadecenoyl-ACPs	COMP_NOT_FOUND	-	-	-	-	-	-	-	-	-	-
CPD-8092	-	Glycerophospholipids	Phosphatidylcholines-36-4	Phosphatidylcholine	1-oleoyl-2-&alpha-linolenoyl-phosphatidylcholine	phosphatidylcholine (1-18:1-2-18:3); 18:1-18:3-PC; 1-18:1-2-18:3-phosphatidylcholine	(C 44);(H 80);(N 1);(O 8);(P 1)	(ZINC ZINC000085558272 NIL |kothari| 3853423870 NIL NIL); (SEED cpd25042 NIL |kothari| 3788273829 NIL NIL); (HMDB HMDB08107 NIL |kothari| 3787939154 NIL NIL); (METANETX MNXM9560 NIL |kothari| 3787514189 NIL NIL); (CHEBI 86133 NIL |kothari| 3651889255 NIL NIL); (PUBCHEM 24778941 NIL |kothari| 3641818093 NIL NIL)	CCCCCCCC\C=C/CCCCCCCC(OC[C@@H](OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C)=O	phosphatidylcholine (1-18:1-2-18:3); 18:1-18:3-PC; 1-(9Z-octadecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine; 1-18:1-2-18:3-phosphatidylcholine	['-']
CPD-8093	-	Glycerophospholipids	Phosphatidylcholines-36-5	Phosphatidylcholine	1-linoleoyl-2-&alpha-linolenoyl-phosphatidylcholine	phosphatidylcholine (1-18:2-2-18:3); 18:2-18:3-PC; 1-18:2-2-18:3-phosphatidylcholine	(C 44);(H 78);(N 1);(O 8);(P 1)	(ZINC ZINC000085558503 NIL |kothari| 3853423871 NIL NIL); (SEED cpd25043 NIL |kothari| 3788273826 NIL NIL); (HMDB HMDB08141 NIL |kothari| 3787939149 NIL NIL); (METANETX MNXM7978 NIL |kothari| 3787514193 NIL NIL); (CHEBI 89577 NIL |kothari| 3716218713 NIL NIL); (PUBCHEM 52922731 NIL |kothari| 3641818093 NIL NIL)	CCCCC\C=C/C\C=C/CCCCCCCC(OC[C@@H](OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C)=O	phosphatidylcholine (1-18:2-2-18:3); 18:2-18:3-PC; 1-(9Z,12Z-octadecadienoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine; 1-18:2-2-18:3-phosphatidylcholine	['-']
ILE	-	-	Amino-Acids-20; Branched-Amino-Acids; L-Amino-Acids; Non-polar-amino-acids	-	L-isoleucine	ile	(C 6);(H 13);(N 1);(O 2)	(ZINC ZINC000003581355 NIL |kothari| 3853425560 NIL NIL); (MEDIADB compounds/14805/ NIL |midford| 3791153825 NIL NIL); (MEDIADB compounds/390/ NIL |midford| 3791153825 NIL NIL); (SEED cpd00322 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM231 NIL |kothari| 3787514190 NIL NIL); (REFMET Isoleucine NIL |midford| 3697479617 NIL NIL); (BIGG ile__L NIL |kothari| 3661871748 NIL NIL); (METABOLIGHTS MTBLC58045 NIL |kothari| 3608991478 NIL NIL); (HMDB HMDB00172 NIL |kothari| 3608597114 NIL NIL); (CHEBI 58045 NIL |ong| 3523630741 NIL NIL); (PUBCHEM 7043901 NIL |taltman| 3497976212 NIL NIL); (CAS 73-32-5 NIL |kr| 3346617698 NIL NIL); (LIGAND-CPD C00407 NIL |kaipa| 3311532639 NIL NIL)	CC[C@H](C)[C@H]([NH3+])C(=O)[O-]	I; iso-leucine; L-ile	['-']
FRUCTOSE-16-DIPHOSPHATE	-	Sphingolipids	HEXOSE-6-PHOSPHATES; Sugar-bisphosphates	Long-chain base phosphate	&beta-D-fructofuranose 1,6-bisphosphate	-	(C 6);(H 10);(O 12);(P 2)	(ZINC ZINC000004096694 NIL |kothari| 3853425412 NIL NIL); (SEED cpd19036 NIL |kothari| 3788273829 NIL NIL); (METANETX MNXM90006 NIL |kothari| 3787514191 NIL NIL); (BIGG fdp NIL |kothari| 3661824225 NIL NIL); (HMDB HMDB01058 NIL |kothari| 3608602661 NIL NIL); (CHEMSPIDER 4574223 NIL |kothari| 3563632026 NIL NIL); (PUBCHEM 5460765 NIL |taltman| 3466375284 NIL NIL); (CHEBI 32966 NIL |taltman| 3452363378 NIL NIL); (|Wikipedia| Fructose_1,6-bisphosphate NIL |caspi| 3410109048 NIL NIL); (LIGAND-CPD C00354 NIL |kr| 3346617698 NIL NIL); (CAS 488-69-7)	C(OP(=O)([O-])[O-])[C@@H]1([C@H]([C@@H]([C@](O)(O1)COP(=O)([O-])[O-])O)O)	&beta-D-fructose 1,6-bisphosphate; FBP	['-']
FRUCTOSE-6P	-	-	CPD-18719	-	&beta-D-fructofuranose 6-phosphate	F6P	(C 6);(H 11);(O 9);(P 1)	(ZINC ZINC000004096690 NIL |kothari| 3853425414 NIL NIL); (SEED cpd19035 NIL |kothari| 3788273832 NIL NIL); (HMDB HMDB03971 NIL |kothari| 3787939157 NIL NIL); (METANETX MNXM89621 NIL |kothari| 3787514189 NIL NIL); (LIGAND-CPD C05345 NIL |kothari| 3787329137 NIL NIL); (BIGG f6p NIL |kothari| 3661824225 NIL NIL); (CHEMSPIDER 10239172 NIL |kothari| 3563631798 NIL NIL); (CHEBI 57634 NIL |taltman| 3498180761 NIL NIL); (PUBCHEM 21604863 NIL |taltman| 3466375285 NIL NIL); (CAS 643-13-0)	C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1)	D-fructose-6-phosphate; fructose-6P; fructose-6-P; fruc6p; fru-6-P; fructose-6-phosphate; A-D-fructose-6-P; D-fructose-6-P; D-fructose 6-phosphate; D-fructofuranose 6-phosphate	['-']
